username,tweet_id,created_at,content,retweets,favs
CiutadansCs,1356309976176861185,2021-02-01 18:34:31,"💪🏻 Ayer @carrizosacarlos le dijo las verdades a la cara a Laura Borràs durante el #DebateCATrtve

🤔 ¿Y qué hizo Borràs nada más acabar el debate?

‼️ Ir a increpar a Carrizosa porque no le gustó que la dejara al descubierto

✅Desde Cs no dejaremos de luchar contra la corrupción https://t.co/wzUdridwhv",45,69
zi_arerbac,1356309054340083714,2021-02-01 18:30:52,@JACS_JaumeACS @LauraBorras Mantenint el somriure durant tot el #DebateCATrtve... 😂 https://t.co/XKHsOvyPiI,0,0
BatallaCarles,1356307729112043520,2021-02-01 18:25:36,"El próximo debate electoral en unas generales, en mandarín o inglés, que son las lenguas más universales y habladas del mundo. O en esperanto #Eleccions14F #DebateCATrtve",1,3
JoanPedroB,1356307311543939072,2021-02-01 18:23:56,"Quina diferència hi ha entre una colona -pronuncieu bé la primera 'o' que no vull malentesos- de dretes amb una colona d'esquerres?

Els cognoms.
#DebatCATrtve 
#DebateCATrtve https://t.co/jMf4sySv7r",1,1
virferrod,1356306131413585926,2021-02-01 18:19:15,"Pues yo no hubiese puesto traductores. Yo no entiendo prácticamente el catalán y no lo hablo. Con lo cual entiendo que los que no hablan en el idioma de mi país para comunicarse en unas elecciones, es que no quieren mi voto. #DebateCATrtve",0,0
Bartu_Demissio,1356305496324632576,2021-02-01 18:16:43,"Heus aquí un vídeo electoral que Esquerra, JuntsxCat i la CUP no volen que vegis.
#DebateCATrtve #JuntsPerSer #Junqueras #14F #FesFront Junqueras
#CUP #Catalunya #Elecciones14F
https://t.co/sp6zPpW7Qd",0,0
Nenedespierta,1356305211195850752,2021-02-01 18:15:35,"@abengoashares No sin nosotros, no sin los dueños.
#Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla

@a_grimaldi

#renovables
#ClementePresidente
@Abengoa
 
@abengoashares

#españa
#abengoa",31,32
PacoG53314897,1356303987054694404,2021-02-01 18:10:44,"@abengoashares Total apoyo 
#Lunes1
#BienvenidoFebrero
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#Westbrook
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@Abengoa 
@abengoashares
#españa
#abengoa",24,26
Som_PNC,1356301532870926336,2021-02-01 18:00:58,"🗣 @martapascal: “Després del #DebateCATrtve d’ahir només us puc dir que nosaltres no us farem passar vergonya”

🤝 “Va ser una presa de pèl i si us sentiu disconformes i cansats per la política actual, sumeu-vos al projecte del Partit Nacionalista de Catalunya” ⤵️ https://t.co/sL7j5rxIHr",14,27
jmllg,1356297938738286592,2021-02-01 17:46:42,"#DebateCATrtve candidats i candidates amb perfil molt baix,  amb més crítiques i populisme que propostes reals. el millor, sens dubte @perearagones @Esquerra_ERC #AlCostatDeLaGent",1,0
MarietaG5,1356295649826893824,2021-02-01 17:37:36,"Mi sincera enhorabuena a @xabierfortes por el #DebateCATrtve en @24horastve
Profesionalidad. Rigor. Respeto y buen hacer.",2,10
marcfarre55,1356294859045416960,2021-02-01 17:34:27,"Es genial la, en teoria, imparcial TV PÚBLICA @rtve destaca este tendencioso titular:
https://t.co/aJjKfEIvGP

Y que pasa  Con la otra mitad de catalanes que hace años esta pidiendo tan solo el derecho a votar la autodeterminación de Catalunya?!
#DebateCATrtve #JuntsxCat",0,0
FernandoJesusRT,1356294607521390596,2021-02-01 17:33:27,"Oyendo la preguntita de Fortes a @alejandroTGN, normal que PODEMOS tenga a este periodista en su lista, pero no en la negra de los señalados, sino en la VIP de @rtve. Intenta colarle al popular una #FakeNews y el #zasca del catalán se oye desde #Sevilla.
#DebateCATrtve https://t.co/bKE9Bs3ohS",0,0
veri_fi_cat,1356292762858086407,2021-02-01 17:26:08,"💉 Al #DebateCATrtve, @salvadorilla va afirmar que Espanya és el cinquè país d'Europa amb més persones vacunades i el dotzè del món.

📊 Espanya ocupa aquestes posicions en termes absoluts, però baixa al dotzè i dissetè lloc en vacunacions per càpita.

https://t.co/lue4dRMsz9 https://t.co/H63azbcX90",6,7
MiljanaM,1356292536260820994,2021-02-01 17:25:13,"El #DebateCATrtve fue mucho mejor de lo que me esperaba. Aunque fue una cuestión de fuegos cruzados -todos contra todos- los candidatos lograron debatir y contraargumentar. Hubo buenos argumentos y réplicas. Confirmo lo que siempre digo: no es el formato, es la voluntad a debati! https://t.co/1cNOSEyzdV",0,2
BarriPdmx,1356292374058692611,2021-02-01 17:24:35,"1/ Ayer tuvieron el primer debate las candidaturas para las elecciones catalanas bajo el hashtag #DebateCATrtve realizado en @rtve .
Este es el hilo del análisis del ht y lo que vi en él.👇",10,16
eikonos_sa,1356290741975314433,2021-02-01 17:18:06,"Primer asalto! Y Eikonos en primera línea de plató con nuestras pantallas LED, sistema WatchOut y equipo técnico

#DebateCATrtve #EleccionesCatalanas2021 #14F #LED #Watchout #Platós. https://t.co/5youKAEehC",0,0
massimo_boscia,1356290478753386497,2021-02-01 17:17:03,"Que pena #Illa, parecía un disco rayado repitiendo el estribillo de ""hay que dialogar dentro de la ley""...
No se puede dialogar con quién sigue predicando violencia y división.
#DebateCATrtve #ParaQueGanemosTodos",0,1
Roberto_Lak,1356290374231330819,2021-02-01 17:16:38,"Ayer, domingo, emisión para Cataluña del #DebateCATrtve, muy buen dato de audiencia. Share del 9,8%, 223.000 personas, RTVE ocupa un espacio del que otras cadenas escapan como escapa el gato del agua a 100 grados ... o más. https://t.co/xcmH2j1IKJ",1,2
sralane,1356289192091906050,2021-02-01 17:11:56,"arribo tard però escoltant el #DebateCATrtve veig com parlen de pactes, territori, pandèmia i gestió de la #covid19 (en molta part per posar-se medalletes) però molt poc o res de feminisme, d'habitatge, d'educació o de canvi climàtic. quina mandra tu!",0,0
pmortera_,1356288635365187585,2021-02-01 17:09:43,"Se que llego tarde pero ¿Que opináis de que en el #DebateCATrtve algunos candidatos hablaran en castellano y otros en catalán?

Es que lo estoy viendo y leo que ha habido polémica",0,1
JuntsxCat_SVM,1356288318623928321,2021-02-01 17:08:28,"@SonyaGuerraLpz Participar en un debat electoral sobre el #14F i no entendre que hi ha de votar és el poble català, demanat que es parli en castellà perquè tothom ho entengui, és d’una miopia política de manual a la part que d’una limitació cognitiva digna d’estudi. #DebateCATrtve",0,0
Irene25254622,1356288153959735296,2021-02-01 17:07:49,"@WillyTolerdoo Yo ayer no lo vi, porque me pareció de vergüenza escucharlos en catalán en TV española 
#DebateCATrtve",0,2
Oscar_Guardia,1356288025475624961,2021-02-01 17:07:18,Tota l'estona relacionant immigració i delinqüència i ningú va ser capaç de rebatre'l amb contundència. Ignorar-los és del tot estèril. #DebateCATrtve https://t.co/lnjDIPcGa6,0,0
NovaDreamsArt1,1356287756884967424,2021-02-01 17:06:14,"GOBIERNO CRIMINAL COMUNISTA Cae en 51% las matriculaciones de vehículos, cae en un 90% el turismo, es decir se ha perdido más de 15% de PIB sólo con el turismo, sin contar la Hostelería, y autónomos 
#DebateCATrtve #Salvamediario
#LaIslaDeLasTentaciones3 https://t.co/TgmAa3USip",0,0
sandracasasvive,1356286308986089472,2021-02-01 17:00:29,"Acabo de veure el #DebateCATrtve d'ahir. Mes que l'efecte Illa semble el defecte Illa. Quin desastre.
#AlCostatdelagent #ViaAmplia #joerc",1,4
euronewses,1356285303435255812,2021-02-01 16:56:29,Salvador Illa criticado por todos en el primer debate de las elecciones en Cataluña. La gestión de la pandemia del exministro de Sanidad socialista ha recibido palos de todos sus rivales. Illa repite que es el año de la recuperación #DebateCATrtve https://t.co/ojCY3IpVuZ,0,2
manuelmunozz,1356284537878274051,2021-02-01 16:53:27,"“Laura, no t’ho creus ni tu que ho faràs”, @salvadorilla en #DebateCATrtve 
.
Me representa 🤣🤣🤣🤣",0,1
elmondelatele,1356284128052830208,2021-02-01 16:51:49,"🗳️ El debat del #14F a @RTVECatalunya arriba al 10,7% i supera el de les eleccions del 2015 i 2017. #DebateCATrtve   
https://t.co/dPzzsXweOb",0,0
keyceci,1356283484835344385,2021-02-01 16:49:15,"Habláis d pantallas superadas..los debates antiguos no son d fiar.. ahora toca el virus,ayudas,q lleguen las subvenciones y los ERTE no al odio no al confrontamiento no a los resentimientos..fuera egoísmos.. sois aburridos! Revanchistas!#DebateCATrtve país?.nación?.. no s la hora",0,0
PacoG53314897,1356280247059144706,2021-02-01 16:36:24,"@juananpero @Abengoa @desdelamoncloa @abengoashares @sanchezcastejon @PabloIglesias No puede ser de otra manera. Ellos tambien son minoritarios en Abengoa. Apoyen la iniciativa de @Abengoashare.
#Belén 
#Bianca
#kikopantofin
#DebateCATrtve
#FelizLunes
#barcaathletic
#SalvemosAbengoa

@diariosevilla
@a_grimaldi

#renovables
#ClementePresidente
@abengoashares",12,13
RiuYashira,1356278467407601667,2021-02-01 16:29:19,"@SonyaGuerraLpz 🚨 Alerta Utilitzar aquests termes
""Provinciano""
""Maleducado""
Per referir-te al català No és d'una dona d'esquerres si no propis de franquisme més ranci.
#DebateCATrtve 
#14F",1,2
FerranCeCa,1356276831301881856,2021-02-01 16:22:49,"El meu rànquing del #DebateCatrtve
🥇Laura Borràs
🥈Àngels Chacón
🥉Pere Aragonès
4. Alejandro Fernánandez
5. Carles Riera
6. Jéssica Albiach
7. Salvador Illa
8. Carlos Carrizosa https://t.co/C4HBfwNSIu",0,2
irioti,1356274759420563460,2021-02-01 16:14:35,Viendo en diferido el #DebateCATrtve  me faltan 🍿,0,1
GralGrievous87,1356274745361231875,2021-02-01 16:14:32,He visto más propuestas en el menú del bar debajo de mi casa que en el #DebateCATrtve,0,1
guersole,1356274242900340736,2021-02-01 16:12:32,"Más que diálogos y monólogos, lo que hay en esta campaña, así, en resumen, son cerólogos o nulólogos #DebateCATrtve  #14F",0,0
PalabrasdePepe,1356272774604533769,2021-02-01 16:06:42,"🔴 #Eleccions14F #DebateCATrtve

La situación de #Catalunya no es fácil, lo que sí es fácil es ver quienes siempre están en primera línea defendiendo cada causa justa.

Y ahora en #Tarragona podrán votarles en la lista de @correntroig.

🔴✊🏼 La lista de los represaliados. https://t.co/bcrIB0DMSI",18,38
PODEMGirona,1356272485398958080,2021-02-01 16:05:33,"📺 @JessicaAlbiach: ""Es el momento de hablar claro y decir la verdad: 

#DebateCATrtve https://t.co/L7ihjdBF96",0,0
pluvisca,1356272464632958979,2021-02-01 16:05:28,"📺 @JessicaAlbiach: ""Es el momento de hablar claro y decir la verdad: 

#DebateCATrtve https://t.co/deysbXJW0X",0,0
